row,scale,fit_x_slope,fit_x_offset,fit_y_slope,fit_y_offset,expected_if_sx_plus_sm1,kernel,input,sci,excursion,star,psr_tag,psr,wht_min,wht_max,wht_neg_frac,estimate,tag,coverage,sci_stats,n,wht_pos_min,iscale,output_level,area_normalised_total,input_total,output_area_normalised,ratio,exps,measured_rate,expected_rate,region,native_pos_frac,sup_pos_frac,both_frac,native_not_sup_frac,sup_not_native_frac,n_eff,sci_max_both,sci_max_native_only,sci_equal,wht_equal,max_diff,total_exptime
kxscale,1,,,,,,lanczos3,A,"{""min"": 99.96119689941406, ""max"": 100.03053283691406, ""mean"": 99.99975634614627, ""median"": 99.9996223449707, ""p1"": 99.97647277832031, ""p5"": 99.98399047851562, ""p95"": 100.01634521484375, ""p99"": 100.02227645874024, ""neg_frac"": 0.0, ""pos_frac"": 1.0, ""nonfinite"": 0.0}","{""valid_support_pixels"": 2304, ""sci_min"": 99.96119689941406, ""sci_max"": 100.03053283691406, ""below_input_min"": 0.00019073486328125, ""above_input_max"": -0.00012969970703125, ""overshoot_factor_max"": 0.9999987034005, ""undershoot_factor_min"": 1.0000019080926714, ""neg_frac_on_support"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,1,,,,,,lanczos3,B,"{""min"": 99.96463775634766, ""max"": 1098.8482666015625, ""mean"": 106.13584722412958, ""median"": 100.00083541870117, ""p1"": 99.9759481048584, ""p5"": 99.98403282165528, ""p95"": 100.28380699157715, ""p99"": 269.12593048095704, ""neg_frac"": 0.0, ""pos_frac"": 1.0, ""nonfinite"": 0.0}","{""valid_support_pixels"": 2304, ""sci_min"": 99.96463775634766, ""sci_max"": 1098.8482666015625, ""below_input_min"": 0.0001220703125, ""above_input_max"": -1.143310546875, ""overshoot_factor_max"": 0.9989606188168833, ""undershoot_factor_min"": 1.0000012211364369, ""neg_frac_on_support"": 0.0}","{""aperture_sum"": 14132.451076507568, ""background"": 99.99787521362305, ""peak"": 998.8503913879395, ""centroid_x"": 24.000003292541187, ""centroid_y"": 24.000021224717056, ""fwhm"": 1.0, ""n_aperture_pix"": 113}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,2,,,,,,lanczos3,A,"{""min"": 99.96105194091797, ""max"": 100.0306396484375, ""mean"": 99.99975222100814, ""median"": 99.99970626831055, ""p1"": 99.98125267028809, ""p5"": 99.9873161315918, ""p95"": 100.01212310791016, ""p99"": 100.01815338134766, ""neg_frac"": 0.0, ""pos_frac"": 1.0, ""nonfinite"": 0.0}","{""valid_support_pixels"": 9216, ""sci_min"": 99.96105194091797, ""sci_max"": 100.0306396484375, ""below_input_min"": 4.57763671875e-05, ""above_input_max"": -2.288818359375e-05, ""overshoot_factor_max"": 0.9999997711883235, ""undershoot_factor_min"": 1.000000457942241, ""neg_frac_on_support"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,2,,,,,,lanczos3,B,"{""min"": 99.96453857421875, ""max"": 1099.8270263671875, ""mean"": 106.13581944339805, ""median"": 100.00057983398438, ""p1"": 99.98139305114746, ""p5"": 99.98756217956543, ""p95"": 100.31632423400879, ""p99"": 318.7689514160156, ""neg_frac"": 0.0, ""pos_frac"": 1.0, ""nonfinite"": 0.0}","{""valid_support_pixels"": 9216, ""sci_min"": 99.96453857421875, ""sci_max"": 1099.8270263671875, ""below_input_min"": 2.288818359375e-05, ""above_input_max"": -0.16455078125, ""overshoot_factor_max"": 0.9998504072352294, ""undershoot_factor_min"": 1.0000002289630818, ""neg_frac_on_support"": 0.0}","{""aperture_sum"": 47836.274921417236, ""background"": 102.34562301635742, ""peak"": 997.4814033508301, ""centroid_x"": 48.999983543849744, ""centroid_y"": 49.00000814226965, ""fwhm"": 1.0, ""n_aperture_pix"": 113}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,3,,,,,,lanczos3,A,"{""min"": 99.96100616455078, ""max"": 100.0306625366211, ""mean"": 99.99975254064725, ""median"": 99.99970245361328, ""p1"": 99.98095703125, ""p5"": 99.98709106445312, ""p95"": 100.01293182373047, ""p99"": 100.01838493347168, ""neg_frac"": 0.0, ""pos_frac"": 1.0, ""nonfinite"": 0.0}","{""valid_support_pixels"": 20736, ""sci_min"": 99.96100616455078, ""sci_max"": 100.0306625366211, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,3,,,,,,lanczos3,B,"{""min"": 99.96451568603516, ""max"": 1099.9915771484375, ""mean"": 106.13581214569233, ""median"": 100.00059509277344, ""p1"": 99.98101043701172, ""p5"": 99.9871597290039, ""p95"": 100.37217330932617, ""p99"": 282.7976867675781, ""neg_frac"": 0.0, ""pos_frac"": 1.0, ""nonfinite"": 0.0}","{""valid_support_pixels"": 20736, ""sci_min"": 99.96451568603516, ""sci_max"": 1099.9915771484375, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}","{""aperture_sum"": 63437.282135009766, ""background"": 178.25631713867188, ""peak"": 921.7352600097656, ""centroid_x"": 73.99997674907347, ""centroid_y"": 74.00000835132178, ""fwhm"": 1.0, ""n_aperture_pix"": 113}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,4,,,,,,lanczos3,A,"{""min"": 0.0, ""max"": 100.0306625366211, ""mean"": 99.56844864537318, ""median"": 99.9996337890625, ""p1"": 99.97621154785156, ""p5"": 99.98524475097656, ""p95"": 100.01439666748047, ""p99"": 100.02108001708984, ""neg_frac"": 0.0, ""pos_frac"": 0.9956868489583334, ""nonfinite"": 0.0}","{""valid_support_pixels"": 36481, ""sci_min"": 99.96100616455078, ""sci_max"": 100.0306625366211, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,4,,,,,,lanczos3,B,"{""min"": 0.0, ""max"": 1099.9915771484375, ""mean"": 105.70449049460392, ""median"": 100.00058364868164, ""p1"": 99.97576141357422, ""p5"": 99.98538208007812, ""p95"": 100.30232238769531, ""p99"": 287.4402767945639, ""neg_frac"": 0.0, ""pos_frac"": 0.9956868489583334, ""nonfinite"": 0.0}","{""valid_support_pixels"": 36481, ""sci_min"": 99.96451568603516, ""sci_max"": 1099.9915771484375, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}","{""aperture_sum"": 59771.59158325195, ""background"": 318.7862854003906, ""peak"": 781.2052917480469, ""centroid_x"": 98.26890674389082, ""centroid_y"": 98.26894302601212, ""fwhm"": 1.0, ""n_aperture_pix"": 113}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,1,,,,,,point,A,"{""min"": 99.96100616455078, ""max"": 100.0306625366211, ""mean"": 99.9997452530596, ""median"": 99.99960327148438, ""p1"": 99.97635025024414, ""p5"": 99.98395004272462, ""p95"": 100.01642684936523, ""p99"": 100.0223226928711, ""neg_frac"": 0.0, ""pos_frac"": 1.0, ""nonfinite"": 0.0}","{""valid_support_pixels"": 2304, ""sci_min"": 99.96100616455078, ""sci_max"": 100.0306625366211, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,1,,,,,,point,B,"{""min"": 99.96451568603516, ""max"": 1099.9915771484375, ""mean"": 106.1358352833324, ""median"": 100.00080490112305, ""p1"": 99.97582695007324, ""p5"": 99.98397636413574, ""p95"": 100.27717514038086, ""p99"": 269.01350463867186, ""neg_frac"": 0.0, ""pos_frac"": 1.0, ""nonfinite"": 0.0}","{""valid_support_pixels"": 2304, ""sci_min"": 99.96451568603516, ""sci_max"": 1099.9915771484375, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}","{""aperture_sum"": 14132.57508468628, ""background"": 99.99786758422852, ""peak"": 999.993709564209, ""centroid_x"": 24.000003280635713, ""centroid_y"": 24.000021366509948, ""fwhm"": 1.0, ""n_aperture_pix"": 113}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,2,,,,,,point,A,"{""min"": 0.0, ""max"": 100.0306625366211, ""mean"": 24.9999363132649, ""median"": 0.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 100.00815010070801, ""p99"": 100.0174404144287, ""neg_frac"": 0.0, ""pos_frac"": 0.25, ""nonfinite"": 0.0}","{""valid_support_pixels"": 2304, ""sci_min"": 99.96100616455078, ""sci_max"": 100.0306625366211, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,2,,,,,,point,B,"{""min"": 0.0, ""max"": 1099.9915771484375, ""mean"": 26.5339588208331, ""median"": 0.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 100.01053619384766, ""p99"": 101.59539909362793, ""neg_frac"": 0.0, ""pos_frac"": 0.25, ""nonfinite"": 0.0}","{""valid_support_pixels"": 2304, ""sci_min"": 99.96451568603516, ""sci_max"": 1099.9915771484375, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}","{""aperture_sum"": 15163.125717163086, ""background"": 0.0, ""peak"": 1099.9915771484375, ""centroid_x"": 48.99999185694801, ""centroid_y"": 49.00000364082577, ""fwhm"": null, ""n_aperture_pix"": 113}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,3,,,,,,point,A,"{""min"": 0.0, ""max"": 100.0306625366211, ""mean"": 11.111082805895512, ""median"": 0.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 100.00103950500488, ""p99"": 100.01337394714355, ""neg_frac"": 0.0, ""pos_frac"": 0.1111111111111111, ""nonfinite"": 0.0}","{""valid_support_pixels"": 2304, ""sci_min"": 99.96100616455078, ""sci_max"": 100.0306625366211, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kxscale,3,,,,,,point,B,"{""min"": 0.0, ""max"": 1099.9915771484375, ""mean"": 11.792870587036933, ""median"": 0.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 100.00214195251465, ""p99"": 100.01969604492187, ""neg_frac"": 0.0, ""pos_frac"": 0.1111111111111111, ""nonfinite"": 0.0}","{""valid_support_pixels"": 2304, ""sci_min"": 99.96451568603516, ""sci_max"": 1099.9915771484375, ""below_input_min"": 0.0, ""above_input_max"": 0.0, ""overshoot_factor_max"": 1.0, ""undershoot_factor_min"": 1.0, ""neg_frac_on_support"": 0.0}","{""aperture_sum"": 9712.142150878906, ""background"": 0.0, ""peak"": 1099.9915771484375, ""centroid_x"": 73.99998167463852, ""centroid_y"": 74.00000575024202, ""fwhm"": null, ""n_aperture_pix"": 113}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
