row,kernel,tag,psr_tag,psr,stats,scale,input,raw_sum,area_norm,level,input_sum,measured,expect_wt,expect_wt2,exposure,key,n_native,n_sup,n_stable,robust_wht,dom,n_eff_max,sci_eq,wht_eq,sup1_eq,sup2_eq,total_exptime,max_diff,n,sci_max,wht_max,png,stretch_params,display_mean,display_std,display_p99,flagged,frac,bg
causal,gaussian,rot_trans,none,,"{""n"": 16178, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.00001525878906, ""neg_frac"": 0.0, ""wht_at_min"": 0.0002687968371901661, ""wht_at_max"": 0.002998819574713707, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.028356481481481483}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,gaussian,rot_trans,diag3,3.0,"{""n"": 5151, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 1.2853600310336333e-05, ""wht_at_max"": 4.040707588195801, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,turbo,translated,cur1,1.0,"{""n"": 1677, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 1.0, ""wht_at_max"": 1.0, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,turbo,translated,inv13,0.3333333333333333,"{""n"": 14848, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 0.1111111044883728, ""wht_at_max"": 0.1111111044883728, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,turbo,translated,none,,"{""n"": 1677, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 1.0, ""wht_at_max"": 1.0, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,turbo,translated,diag3,3.0,"{""n"": 1677, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 1.0, ""wht_at_max"": 1.0, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,turbo,rotated,cur1,1.0,"{""n"": 7805, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 0.14524905383586884, ""wht_at_max"": 0.02502857893705368, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,turbo,rotated,inv13,0.3333333333333333,"{""n"": 17840, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.00001525878906, ""neg_frac"": 0.0, ""wht_at_min"": 0.02824007160961628, ""wht_at_max"": 0.08045969903469086, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.04079861111111111}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,turbo,rotated,none,,"{""n"": 7805, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 0.14524905383586884, ""wht_at_max"": 0.02502857893705368, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,turbo,rotated,diag3,3.0,"{""n"": 3483, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 0.7144554853439331, ""wht_at_max"": 0.9903014898300171, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,turbo,rot_trans,cur1,1.0,"{""n"": 7421, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 0.23557062447071075, ""wht_at_max"": 0.02502857893705368, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,turbo,rot_trans,inv13,0.3333333333333333,"{""n"": 16966, ""min"": 0.0, ""max"": 200.00003051757812, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.00001525878906, ""p99"": 200.00001525878906, ""neg_frac"": 0.0, ""wht_at_min"": 0.03411645069718361, ""wht_at_max"": 0.003580634482204914, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.043933256172839504}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,turbo,rot_trans,none,,"{""n"": 7421, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 0.23557062447071075, ""wht_at_max"": 0.02502857893705368, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,turbo,rot_trans,diag3,3.0,"{""n"": 3306, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 1.0, ""wht_at_max"": 1.0, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,lanczos2,translated,cur1,1.0,"{""n"": 14848, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 4.0690758851269493e-07, ""wht_at_max"": 4.0690758851269493e-07, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,lanczos2,translated,inv13,0.3333333333333333,"{""n"": 15344, ""min"": -16.840911865234375, ""max"": 216.8409423828125, ""p1"": -6.170468330383301, ""p5"": 0.0, ""p95"": 200.0000457763672, ""p99"": 206.1704864501953, ""neg_frac"": 0.01694473409801877, ""wht_at_min"": 1.016700267791748, ""wht_at_max"": 1.0173484086990356, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.23543595679012347}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,lanczos2,translated,none,,"{""n"": 14848, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 4.0690758851269493e-07, ""wht_at_max"": 4.0690758851269493e-07, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,lanczos2,translated,diag3,3.0,"{""n"": 1677, ""min"": 0.0, ""max"": 200.0, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.0, ""neg_frac"": 0.0, ""wht_at_min"": 1.0, ""wht_at_max"": 1.0, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
causal,lanczos2,rotated,cur1,1.0,"{""n"": 7728, ""min"": -46.325225830078125, ""max"": 280.61968994140625, ""p1"": 0.0, ""p5"": 0.0, ""p95"": 200.0, ""p99"": 200.00001525878906, ""neg_frac"": 0.0009057971014492754, ""wht_at_min"": 0.018765361979603767, ""wht_at_max"": 0.01293562725186348, ""input_min"": 0.0, ""input_max"": 200.0, ""frac_outside"": 0.07200038580246913}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
