row,kernel,scale,psr_tag,input,coverage,support_radius_out,support_radius_input,centroid_x,centroid_y,footprint,dom,floors,robust_floor,extreme_max,extreme_p99,extreme_n,measured,expect_sigma_rt_over_t,expect,sci_eq,wht_eq,sup1_eq,sup2_eq,sup1_img_eq,max_diff,total_exptime,sci_max,note,png,sha256,flagged,frac,bg
footprint,lanczos2,2,none,impulse,1.0,134.34292282767015,67.17146141383508,0.0052082641333988,0.0052082641333988,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos2,2,none,star,1.0,134.34292282767015,67.17146141383508,0.0052082641333988,0.0052082641333988,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos2,2,wrong_s,impulse,0.25,134.3208256428946,67.1604128214473,0.020833333333333332,0.020833333333333332,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos2,2,wrong_s,star,0.25,134.3208256428946,67.1604128214473,0.020833333333333332,0.020833333333333332,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos2,3,cur1,impulse,0.9861593364197531,202.22752552536713,67.40917517512237,0.003545358437271647,0.003545358437271647,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos2,3,cur1,star,0.9861593364197531,202.22752552536713,67.40917517512237,0.003545358437271647,0.003545358437271647,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos2,3,one_over_s,impulse,1.0,202.2276292142886,67.40920973809621,0.003472039296172224,0.0034720392992968817,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos2,3,one_over_s,star,1.0,202.2276292142886,67.40920973809621,0.003472039296172224,0.0034720392992968817,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos2,3,none,impulse,0.9861593364197531,202.22752552536713,67.40917517512237,0.003545358437271647,0.003545358437271647,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos2,3,none,star,0.9861593364197531,202.22752552536713,67.40917517512237,0.003545358437271647,0.003545358437271647,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos2,3,wrong_s,impulse,0.1111111111111111,202.18803834154355,67.39601278051451,0.03146701388888889,0.03146701388888889,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos2,3,wrong_s,star,0.1111111111111111,202.18803834154355,67.39601278051451,0.03146701388888889,0.03146701388888889,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos2,4,cur1,impulse,0.5547146267361112,270.10808216828667,67.52702054207167,0.004743445511315194,0.004743445511315195,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos2,4,cur1,star,0.5547146267361112,270.10808216828667,67.52702054207167,0.004743445511315194,0.004743445511315195,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos2,4,one_over_s,impulse,1.0,270.11109811804846,67.52777452951212,0.0026108469825862793,0.0026108469835197886,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos2,4,one_over_s,star,1.0,270.11109811804846,67.52777452951212,0.0026108469825862793,0.0026108469835197886,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos2,4,none,impulse,0.5547146267361112,270.10808216828667,67.52702054207167,0.004743445511315194,0.004743445511315195,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos2,4,none,star,0.5547146267361112,270.10808216828667,67.52702054207167,0.004743445511315194,0.004743445511315195,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos2,4,wrong_s,impulse,0.0625,270.0552510401925,67.51381276004813,0.04210069444444445,0.04210069444444445,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos2,4,wrong_s,star,0.0625,270.0552510401925,67.51381276004813,0.04210069444444445,0.04210069444444445,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,1,cur1,impulse,1.0,66.45361294449911,66.45361294449911,0.010199652550714837,0.010199652646375613,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,1,cur1,star,1.0,66.45361294449911,66.45361294449911,0.010199652550714837,0.010199652646375613,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,1,one_over_s,impulse,1.0,66.45361294449911,66.45361294449911,0.010199652550714837,0.010199652646375613,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,1,one_over_s,star,1.0,66.45361294449911,66.45361294449911,0.010199652550714837,0.010199652646375613,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,1,none,impulse,1.0,66.45361294449911,66.45361294449911,0.010199652550714837,0.010199652646375613,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,1,none,star,1.0,66.45361294449911,66.45361294449911,0.010199652550714837,0.010199652646375613,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,1,wrong_s,impulse,1.0,66.45361294449911,66.45361294449911,0.010199652550714837,0.010199652646375613,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,1,wrong_s,star,1.0,66.45361294449911,66.45361294449911,0.010199652550714837,0.010199652646375613,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,2,cur1,impulse,1.0,134.3429228571656,67.1714614285828,0.005208243270924316,0.00520824328302475,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,2,cur1,star,1.0,134.3429228571656,67.1714614285828,0.005208243270924316,0.00520824328302475,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,2,one_over_s,impulse,1.0,134.3429610249081,67.17148051245405,0.005181254604428363,0.005181254610414896,,,,,,,,,,,,,,,,,,,,,,,,
footprint,lanczos3,2,one_over_s,star,1.0,134.3429610249081,67.17148051245405,0.005181254604428363,0.005181254610414896,,,,,,,,,,,,,,,,,,,,,,,,
