key,kernel,scale,input,weighting,n_frames,pixel_scale_ratio,iscale,exptime,pixfrac,positive_support_fraction,sci_on_support_mean,sci_on_support_neg_fraction,sci_on_support_extreme_p99_abs,sci_min,sci_max,sci_mean,sci_median,sci_p1,sci_p5,sci_p95,sci_p99,sci_negative_fraction,sci_positive_fraction,sci_zero_fraction,sci_nonfinite_fraction,wht_min,wht_max,wht_mean,wht_median,wht_p1,wht_p5,wht_p95,wht_p99,wht_negative_fraction,wht_positive_fraction,wht_zero_fraction,wht_nonfinite_fraction
lanczos3_s2_B,lanczos3,2,B,off,1,,1.0,1.0,1.0,1.0,3.9268863201141357,0.4847005208333333,103.6203384399414,-0.0354674756526947,999.7493286132812,3.9268860809167188,0.0003203875239705667,-0.018664207216352223,-0.012480434030294418,0.021180498879402876,103.6203384399414,0.4847005208333333,0.5152994791666666,0.0,0.0,6.858274446130963e-07,1.0008258819580078,0.2510226917343988,0.001656977692618966,1.3716548892261926e-06,2.7433097784523852e-06,1.0008258819580078,1.0008258819580078,0.0,1.0,0.0,0.0
lanczos3_s3_A,lanczos3,3,A,off,1,,1.0,1.0,1.0,0.5555555555555556,99.99748229980469,0.0,100.09729766845703,99.81842803955078,100.14415740966797,99.99744074708886,99.99747467041016,99.90189056396484,99.93537139892578,100.06066513061523,100.08961982727051,0.0,1.0,0.0,0.0,-0.17048388719558716,0.39813345670700073,0.10988439255318856,0.07300253957509995,-0.17048388719558716,-0.17048388719558716,0.39813345670700073,0.39813345670700073,0.4444444444444444,0.5555555555555556,0.0,0.0
lanczos3_s3_B,lanczos3,3,B,off,1,,1.0,1.0,1.0,0.5555555555555556,3.926896095275879,0.48550347222222223,70.09783172607422,-0.033976901322603226,977.4515380859375,3.9268916189530274,0.0003213452437194064,-0.019224975164979695,-0.012984962668269873,0.021231961902230978,101.03404579162599,0.4851466049382716,0.5148533950617284,0.0,0.0,-0.17048388719558716,0.39813345670700073,0.10968574189053155,0.07300253957509995,-0.17048388719558716,-0.17048388719558716,0.39813345670700073,0.39813345670700073,0.4444444444444444,0.5555555555555556,0.0,0.0
lanczos3_s4_A,lanczos3,4,A,off,1,,1.0,1.0,1.0,1.0,99.99746704101562,0.0,100.0999755859375,99.8050308227539,100.15330505371094,99.99746770691127,99.99751281738281,99.88902282714844,99.92875671386719,100.06787872314453,100.0999755859375,0.0,1.0,0.0,0.0,4.260773778241855e-08,1.0,0.06275810045230533,6.858274446130963e-07,1.704309511296742e-07,1.704309511296742e-07,1.0,1.0,0.0,1.0,0.0,0.0
lanczos3_s4_B,lanczos3,4,B,off,1,,1.0,1.0,1.0,1.0,3.926894187927246,0.4848090277777778,82.50349426269531,-0.03548805043101311,999.9915161132812,3.9268945440319794,0.000347030334523879,-0.02137824334204197,-0.014325443655252457,0.02261713333427906,82.5034918976708,0.4848090277777778,0.5151909722222222,0.0,0.0,4.260773778241855e-08,1.0,0.0627583697783558,6.858274446130963e-07,1.704309511296742e-07,1.704309511296742e-07,1.0,1.0,0.0,1.0,0.0,0.0
point_s1_A,point,1,A,off,1,,1.0,1.0,1.0,0.9384765625,99.9974136352539,0.0,100.11237335205078,0.0,100.15330505371094,93.84523297101259,99.99224853515625,0.0,0.0,100.07364883422852,100.11109603881836,0.0,0.9384765625,0.0615234375,0.0,0.0,1.0,0.9384765625,1.0,0.0,0.0,1.0,1.0,0.0,0.9384765625,0.0615234375,0.0
point_s1_B,point,1,B,off,1,,1.0,1.0,1.0,0.9587673611111112,4.0957465171813965,0.4843820733363513,62.191097259521484,-0.03548805043101311,999.9915161132812,3.9268682056929762,0.0,-0.024172829519957303,-0.015805906243622304,0.02523833299055693,62.176727790832516,0.4644097222222222,0.4943576388888889,0.04123263888888889,0.0,0.0,1.0,0.9587673611111112,1.0,0.0,1.0,1.0,1.0,0.0,0.9587673611111112,0.04123263888888889,0.0
point_s2_A,point,2,A,off,1,,1.0,1.0,1.0,0.25,99.99754333496094,0.0,100.11109924316406,0.0,100.15330505371094,24.9993851557374,0.0,0.0,0.0,100.03849029541016,100.08247146606445,0.0,0.25,0.75,0.0,0.0,1.0,0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.75,0.0
point_s2_B,point,2,B,off,1,,1.0,1.0,1.0,0.25,3.9269027709960938,0.484375,62.176727294921875,-0.03548805043101311,999.9915161132812,0.981725726189332,0.0,-0.017213739175349473,-0.00857234071008861,0.009505168767645955,0.04842501357197856,0.12109375,0.12890625,0.75,0.0,0.0,1.0,0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.75,0.0
point_s3_A,point,3,A,off,1,,1.0,1.0,1.0,0.1111111111111111,99.99754333496094,0.0,100.11109924316406,0.0,100.15330505371094,11.1108378469944,0.0,0.0,0.0,100.00247383117676,100.06417045593261,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,0.0,1.0,1.0,0.0,0.1111111111111111,0.8888888888888888,0.0
